epoch,lr,train_loss,train_acc,val_loss,val_acc,val_top5
1,0.002000,8.074766,0.000164,7.955975,0.000359,0.001436
2,0.002000,7.901455,0.000491,7.628044,0.001077,0.004668
3,0.001999,7.470816,0.000655,6.963949,0.003232,0.011490
4,0.001997,6.896204,0.001720,6.462058,0.007181,0.029084
5,0.001995,6.473579,0.004668,6.078261,0.013285,0.058528
6,0.001991,6.045324,0.008353,5.633264,0.029084,0.107002
7,0.001988,5.591117,0.021538,5.190813,0.057451,0.170197
8,0.001983,5.109935,0.047498,4.659113,0.109874,0.289048
9,0.001978,4.567291,0.090656,4.048009,0.184919,0.400000
10,0.001973,3.951217,0.157809,3.495902,0.251346,0.494794
11,0.001966,3.379398,0.245189,2.991532,0.323160,0.573070
12,0.001959,2.844348,0.322250,2.485716,0.412926,0.661400
13,0.001951,2.338620,0.413234,2.083250,0.478636,0.723519
14,0.001943,1.950257,0.480223,1.752947,0.553680,0.779892
15,0.001934,1.620631,0.550733,1.510161,0.587792,0.826930
16,0.001924,1.338154,0.609123,1.358449,0.626930,0.853860
17,0.001914,1.139493,0.656785,1.196220,0.658528,0.885817
18,0.001903,0.986544,0.701499,1.073280,0.689767,0.904129
19,0.001892,0.864673,0.726312,1.008707,0.719928,0.915619
20,0.001879,0.747487,0.759233,0.983852,0.736804,0.922442
21,0.001867,0.649072,0.787241,0.819794,0.761580,0.934291
22,0.001853,0.582312,0.807469,0.765972,0.779174,0.943627
23,0.001839,0.507256,0.831873,0.787957,0.776661,0.942190
24,0.001825,0.459195,0.845795,0.677353,0.805745,0.957271
25,0.001810,0.381660,0.867906,0.628503,0.821185,0.960144
26,0.001794,0.374985,0.869380,0.608855,0.834829,0.958707
27,0.001778,0.322743,0.888953,0.547761,0.850987,0.969120
28,0.001762,0.295292,0.897388,0.591414,0.838061,0.965171
29,0.001744,0.266892,0.909999,0.534007,0.856373,0.968043
30,0.001727,0.262107,0.907952,0.631226,0.837343,0.962298
31,0.001709,0.280057,0.903120,0.568043,0.854219,0.962298
32,0.001690,0.226751,0.921464,0.488366,0.866068,0.970557
33,0.001671,0.192640,0.932192,0.492573,0.865350,0.968761
34,0.001651,0.190355,0.934895,0.515933,0.863196,0.970557
35,0.001631,0.208652,0.928425,0.516453,0.862837,0.969479
36,0.001611,0.180111,0.937106,0.476212,0.872531,0.974147
37,0.001590,0.154029,0.947097,0.464665,0.876840,0.977379
38,0.001569,0.147515,0.949062,0.489896,0.872172,0.972711
39,0.001547,0.142602,0.951355,0.432996,0.885817,0.975943
40,0.001525,0.116996,0.959872,0.449722,0.887253,0.976302
41,0.001502,0.120652,0.959053,0.475250,0.881867,0.973788
42,0.001480,0.138116,0.952174,0.513667,0.870377,0.971993
43,0.001457,0.149062,0.948080,0.447089,0.881508,0.975583
44,0.001433,0.118750,0.957334,0.407653,0.889048,0.979892
45,0.001410,0.102406,0.964294,0.422507,0.894434,0.977020
46,0.001386,0.088675,0.970764,0.422632,0.895871,0.977020
47,0.001362,0.107544,0.963557,0.408321,0.896589,0.979533
48,0.001337,0.081155,0.973057,0.393561,0.901975,0.980969
49,0.001312,0.096616,0.967079,0.417885,0.890844,0.980969
50,0.001288,0.070133,0.976251,0.390553,0.899461,0.982406
51,0.001263,0.065713,0.977561,0.418691,0.899461,0.976302
52,0.001237,0.056328,0.979936,0.391720,0.900898,0.978815
53,0.001212,0.058050,0.980509,0.386023,0.908079,0.977738
54,0.001186,0.056221,0.981656,0.401791,0.904847,0.978097
55,0.001161,0.052591,0.980182,0.382516,0.903052,0.977738
56,0.001135,0.058952,0.980018,0.381001,0.905566,0.978815
57,0.001109,0.051372,0.983621,0.422758,0.895153,0.976661
58,0.001083,0.059493,0.979117,0.410148,0.901616,0.978097
59,0.001057,0.056804,0.980182,0.412013,0.905206,0.977379
60,0.001031,0.060231,0.979772,0.393995,0.905566,0.981688
61,0.001005,0.045818,0.985259,0.404281,0.897666,0.978456
62,0.000979,0.031440,0.990009,0.369606,0.915260,0.982765
63,0.000953,0.029949,0.990664,0.370608,0.910952,0.980969
64,0.000927,0.039582,0.985505,0.375803,0.911311,0.981329
65,0.000901,0.030471,0.991893,0.378703,0.907720,0.980969
66,0.000875,0.027607,0.991156,0.364578,0.913824,0.981688
67,0.000849,0.029732,0.990500,0.365128,0.913824,0.982406
68,0.000824,0.025938,0.991565,0.348468,0.918492,0.980610
69,0.000798,0.023078,0.992384,0.348376,0.921005,0.984201
70,0.000773,0.024363,0.991811,0.393216,0.911311,0.980969
71,0.000747,0.025586,0.992630,0.328373,0.922801,0.983483
72,0.000722,0.021698,0.993285,0.355839,0.914542,0.983124
73,0.000698,0.020243,0.994022,0.356513,0.921005,0.981688
74,0.000673,0.014165,0.995414,0.332526,0.923878,0.984201
75,0.000648,0.009452,0.998035,0.320429,0.922442,0.983483
76,0.000624,0.006860,0.998526,0.328457,0.926391,0.980610
77,0.000600,0.009213,0.997871,0.332289,0.924596,0.984560
78,0.000577,0.006243,0.998444,0.328110,0.923878,0.982406
79,0.000553,0.010808,0.996888,0.334437,0.923878,0.982765
80,0.000530,0.008594,0.997461,0.341651,0.920646,0.983124
81,0.000508,0.012103,0.996560,0.332066,0.922801,0.985637
82,0.000485,0.006843,0.998198,0.318784,0.924596,0.983124
83,0.000463,0.004779,0.999017,0.314822,0.928187,0.982406
84,0.000441,0.003794,0.999509,0.317599,0.925673,0.984201
85,0.000420,0.004108,0.999672,0.320788,0.925314,0.982765
86,0.000399,0.005142,0.999099,0.316671,0.926391,0.982406
87,0.000379,0.003435,0.999591,0.314213,0.924955,0.983842
88,0.000359,0.003732,0.999345,0.314088,0.925314,0.982765
89,0.000339,0.004880,0.999099,0.317805,0.925314,0.983842
90,0.000320,0.004401,0.998935,0.325609,0.922083,0.983124
91,0.000301,0.004541,0.998853,0.329704,0.927828,0.983124
92,0.000283,0.004605,0.999099,0.316957,0.924955,0.983124
93,0.000266,0.003510,0.999181,0.319716,0.926032,0.981688
94,0.000248,0.003172,0.999672,0.320422,0.928905,0.982765
95,0.000232,0.002164,0.999918,0.312466,0.926750,0.983483
96,0.000216,0.003315,0.999672,0.320134,0.928546,0.982406
97,0.000200,0.003853,0.999263,0.313925,0.929264,0.983124
98,0.000185,0.002156,1.000000,0.313951,0.928905,0.982765
99,0.000171,0.001799,0.999836,0.312148,0.933214,0.982047
100,0.000157,0.001840,0.999918,0.313762,0.930700,0.982406
101,0.000143,0.002250,0.999754,0.322483,0.928546,0.984201
102,0.000131,0.001970,0.999836,0.317615,0.928187,0.982406
103,0.000118,0.001731,0.999918,0.312619,0.932496,0.983483
104,0.000107,0.001751,0.999918,0.314791,0.929264,0.982765
105,0.000096,0.001871,0.999836,0.312208,0.928546,0.982047
106,0.000086,0.001597,1.000000,0.314580,0.928905,0.982406
107,0.000076,0.002157,0.999672,0.317201,0.926750,0.982765
108,0.000067,0.001654,0.999918,0.314557,0.928546,0.982406
109,0.000059,0.001526,0.999754,0.312832,0.927828,0.983483
110,0.000051,0.001425,1.000000,0.310524,0.929264,0.982765
111,0.000044,0.001743,0.999754,0.305485,0.929264,0.983842
112,0.000037,0.001512,0.999918,0.308274,0.929623,0.983124
113,0.000032,0.001238,0.999836,0.310049,0.928905,0.983124
114,0.000027,0.001584,0.999836,0.310274,0.928546,0.983124
115,0.000022,0.001520,0.999918,0.309140,0.929623,0.983483
116,0.000019,0.001332,1.000000,0.307193,0.928905,0.983124
117,0.000015,0.001439,1.000000,0.306084,0.929982,0.983483
118,0.000013,0.001623,0.999672,0.306708,0.930341,0.983483
119,0.000011,0.001249,1.000000,0.305511,0.929264,0.983842
120,0.000010,0.001229,1.000000,0.306373,0.929982,0.983483
